year,distance
2015,0
2015,
2015,
2015,824
2015,0
2015,114
2015,
2015,
2015,
2015,
2015,
2015,
2015,0
2015,
2015,
2015,
2015,
2015,
2015,5
2015,
2015,0
2015,21
2015,0
2015,
2015,0
2015,0
2015,11
2015,0
2015,1444
2015,
2015,934
2015,0
2015,14
2015,0
2015,
2016,651
2016,
2016,
2016,382
2016,0
2016,0
2016,0
2016,0
2016,
2016,
2016,0
2016,0
2016,336
2016,
2016,17
2016,
2016,0
2016,
2016,
2016,0
2016,0
2016,0
2016,0
2016,57
2016,
2016,
2016,15
2016,
2016,60
2016,67
2016,109
2016,
2016,0
2016,
2016,
2016,
2016,
2017,
2017,
2017,
2017,
2017,
2017,0
2017,10
2017,20
2017,
2017,
2017,15
2017,0
2017,
2017,
2017,
2017,
2017,0
2017,
2017,192
2017,
2017,
2017,
2017,0
2017,
2017,82
2017,0
2017,0
2017,0
2017,0
2017,0
2017,
2017,36
2017,61
2017,374
2017,
2017,0
2017,
2017,
2017,523
2017,541
2017,129
2017,0
2017,0
2017,0
2017,30
2017,12
2017,0
2017,621
2017,0
2017,
2017,0
2017,0
2018,0
2018,0
2018,232
2018,
2018,0
2018,0
2018,0
2018,0
2018,
2018,0
2018,0
2018,
2018,0
2018,54
2018,
2018,0
2018,
2018,0
2018,0
2018,0
2018,
2018,15
2018,
2018,8
2018,250
2018,0
2019,
2019,90
2019,0
2019,0
2019,0
2019,
2019,0
2019,
2019,0
2019,0
2019,0
2019,
2019,0
2019,
2019,
2019,
2019,
2019,0
2019,20
2019,18
2019,0
2019,650
2019,0
2019,
2019,0
2019,
2019,0
2019,0
2019,0
2019,
2019,0
2019,17
2019,0
2019,
2019,0
2019,0
2019,0
2019,0
2020,0
2020,0
2020,0
2020,
2020,0
2020,0
2020,0
2020,0
2020,0
2020,928
2020,50
2020,0
2020,0
2020,
2020,0
2020,0
2020,0
2020,21
2020,0
2020,0
2020,0
2020,0
2020,0
2020,
2020,0
2020,0
2020,
2020,20
2020,0
2020,0
2020,
2020,0
2020,0
2020,
2020,36
2020,
2020,80
2020,
2020,13
2020,0
2020,443
2020,50
2020,
2020,
2020,249
2020,
2020,0
2020,
2020,0
2020,0
2020,0
2020,0
2020,0
2020,
2020,
2020,0
2020,281
2020,0
2020,
2020,
2020,0
2020,
2020,0
2020,0
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2021,225
2021,
2021,
2021,0
2021,60
2021,0
2021,
2021,0
2021,0
2021,
2021,