GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
01015,4,120,,,,,,,4,120,,,,
01019,1,125,,,,,,,1,125,,,,
01021,1,0,,,,,,,1,0,,,,
01029,1,100,,,,,,,1,100,,,,
01033,1,0,,,,,,,1,0,,,,
01043,1,30,,,,,,,1,30,,,,
01047,3,30,,,,,,,3,30,,,,
01055,4,300,2,0,,,,,4,300,1,0,,
01069,2,100,,,,,,,2,100,,,,
01073,18,645,2,20,1,0,,,14,620,1,20,1,5
01077,13,120,3,0,,,,,11,120,,,,
01079,1,300,,,,,,,1,300,,,,
01081,6,1350,1,0,,,,,5,1350,1,0,1,0
01083,1,100,1,20,,,1,20,1,100,,,,
01089,9,280,3,75,,,1,20,8,280,2,55,1,0
01095,4,20,1,0,,,,,4,20,,,,
01097,12,1330,4,20,,,,,8,1310,2,0,,
01101,18,820,5,180,1,0,4,160,12,725,1,20,,
01103,1,400,,,,,,,1,400,,,,
01109,1,0,,,,,,,1,0,,,,
01113,1,0,,,,,,,1,0,,,,
01125,5,1100,,,,,,,5,1100,,,,
02020,13,2433,8,401,1,0,3,121,10,2413,1,50,,
02050,1,0,,,,,,,1,0,,,,
02068,1,50,,,,,,,1,50,,,,
02090,2,500,,,,,,,2,500,,,,
02100,1,0,,,,,,,1,0,,,,
02110,7,870,2,60,,,,,2,650,1,10,,
02130,2,105,,,,,,,1,5,,,,
02150,2,200,,,,,,,2,200,,,,
02170,2,100,2,0,,,,,1,100,,,,
02188,1,0,,,,,,,1,0,,,,
02220,1,0,,,,,,,1,0,,,,
02261,1,60,1,0,,,,,1,60,1,0,,
04001,1,0,,,,,,,,,,,,
04003,9,570,1,0,,,,,4,470,,,,
04005,6,1140,,,,,,,4,1100,,,,
04007,2,114,,,,,,,2,114,,,,
04013,91,14484,37,10191,1,4,18,1390,60,11235,10,4726,2,700
04015,4,150,9,180,,,5,30,2,150,3,50,,
04019,27,4795,4,25,,,3,25,13,4735,,,1,0
04021,11,580,1,1,,,,,9,180,,,,
04023,2,20,,,,,,,,,,,,
04025,6,1250,4,0,,,1,0,4,1150,1,0,,
04027,4,603,1,20,,,,,1,600,1,20,1,3
05005,4,94,1,3,,,,,4,94,,,,
05007,3,1600,,,,,,,3,1600,,,,
05009,4,385,2,100,,,,,4,385,,,,
05031,7,340,1,0,,,1,0,6,340,,,,
05045,6,0,,,,,,,5,0,,,,
05051,1,40,,,,,,,1,40,,,,
05053,2,20,1,0,,,,,2,20,,,,
05055,1,0,,,,,,,1,0,,,,
05069,2,300,,,,,,,2,300,,,,
05085,1,100,,,,,,,1,100,,,,
05119,25,1605,8,135,,,1,0,18,1210,2,110,,
05125,2,200,,,,,,,2,200,,,,
05131,4,370,2,400,,,,,3,350,1,400,1,20
05139,3,220,3,0,,,,,3,220,,,,
05143,7,295,,,,,,,2,100,,,,
06001,104,61993,7,20,3,5,5,20,55,52285,,,3,0
06007,10,1310,8,575,,,6,500,3,250,1,0,,
06011,1,200,1,0,,,1,0,1,200,,,,
06013,27,2042,6,25,1,0,1,20,17,2020,1,0,1,0
06017,5,60,2,200,,,,,4,40,,,,
06019,15,3900,14,1745,,,10,825,10,3600,2,220,,
06021,1,50,,,,,,,1,50,,,,
06025,3,130,,,,,,,2,100,,,,
06029,20,1910,18,1310,,,7,550,13,1750,8,730,,
06031,2,500,1,40,,,1,40,1,500,,,,
06033,1,75,3,0,,,3,0,,,,,,
06037,292,100174,77,6195,3,10,41,1985,180,60242,17,3020,14,260
06039,1,0,,,,,,,1,0,,,,
06041,34,2210,8,341,,,3,90,23,1870,3,100,2,100
06045,6,432,,,,,,,4,402,,,,
06047,8,300,1,0,,,,,7,300,,,,
06053,24,3010,8,140,,,5,120,14,2700,1,20,1,0
06055,7,760,2,20,,,2,20,3,750,,,1,0
06057,13,325,11,385,,,4,50,5,180,4,320,,
06059,75,18035,37,7210,3,30,27,5880,50,17245,5,1180,1,0
06061,6,475,3,32,,,,,5,475,,,,
06065,33,11065,16,670,,,8,230,23,10335,5,245,1,300
06067,73,22275,37,8580,,,20,4755,40,11995,11,3225,8,70
06069,4,1010,3,1290,,,2,90,1,1000,1,1200,1,0
06071,29,3505,9,850,,,3,500,22,3185,1,10,,
06073,139,15680,32,2763,,,24,2290,103,13505,5,401,4,140
06075,75,36825,15,2375,1,0,8,1330,35,19440,2,25,7,220
06077,29,3140,12,1220,,,5,600,21,2650,2,195,,
06079,30,6800,9,190,,,6,190,22,5700,1,0,,
06081,30,5515,3,75,,,2,75,20,5130,,,1,300
06083,23,1266,12,400,,,7,340,9,800,1,20,1,0
06085,58,14152,3,10,1,0,1,0,38,6157,,,,
06087,20,8140,4,0,,,4,0,12,8000,,,,
06089,10,2250,7,100,,,6,100,7,2250,,,,
06093,2,100,2,0,,,1,0,2,100,,,,
06095,32,2155,5,300,1,0,4,200,25,2155,1,100,,
06097,15,1325,1,100,,,1,100,9,1000,,,,
06099,17,1081,9,600,1,1,3,50,10,1020,1,300,,
06101,1,0,,,,,,,,,,,,
06103,1,100,6,140,,,1,0,1,100,1,20,,
06107,7,515,6,660,,,5,660,7,515,,,,
06109,1,100,1,100,,,1,100,1,100,,,,
06111,31,5500,13,2450,,,9,2200,29,5200,,,,
06113,7,500,1,0,,,,,6,500,1,0,,
06115,2,100,1,0,,,,,,,,,,
08001,1,500,1,5,,,,,1,500,,,,
08003,1,30,,,,,,,1,30,,,,
08005,14,3370,3,1,,,1,0,9,3300,1,0,,
08013,17,1618,6,180,,,2,40,14,1530,1,30,,
08014,2,0,,,,,,,1,0,,,,
08015,3,235,,,,,,,2,220,,,,
08031,68,24315,18,1865,1,5,5,1220,35,12510,7,405,4,105
08035,1,0,3,0,,,2,0,,,,,,
08037,6,621,,,,,,,4,551,,,,
08041,36,2525,6,1100,,,2,1000,23,2185,2,100,2,200
08043,1,50,,,,,,,1,50,,,,
08045,3,85,1,60,,,,,1,85,1,60,,
08051,1,200,,,,,,,1,200,,,,
08059,2,0,1,1000,,,1,1000,1,0,,,,
08067,9,910,7,290,,,5,200,4,750,1,20,,
08069,19,873,7,2520,,,3,2115,18,873,,,,
08071,1,0,,,,,,,,,,,,
08075,1,100,,,,,,,1,100,,,,
08077,4,200,8,400,,,3,30,2,200,2,100,,
08083,4,100,6,1220,,,1,20,2,100,2,1120,,
08087,1,15,,,,,,,,,,,,
08097,7,699,,,,,,,6,699,,,,
08101,15,275,5,255,,,1,0,11,240,1,150,1,35
08107,1,0,,,,,,,,,,,,
08117,1,100,1,20,,,1,20,1,100,,,,
08119,1,0,2,315,,,1,300,,,,,,
08123,2,10,2,20,,,1,20,,,,,,
09001,79,4370,8,570,,,1,20,50,4100,1,100,,
09003,74,7980,23,4605,,,9,2805,45,6535,6,310,2,5
09005,2,0,1,200,,,,,2,0,,,,
09007,7,400,1,0,,,,,5,400,,,,
09009,64,6995,7,604,,,2,500,45,6635,2,100,1,0
09011,32,4237,3,41,,,2,40,21,3715,,,,
09013,13,335,2,80,,,,,10,315,,,,
09015,4,120,1,300,,,,,2,120,,,,
10001,4,240,4,300,,,3,300,2,240,,,,
10003,12,2565,3,40,,,2,40,9,2455,,,1,60
10005,4,300,,,,,,,3,300,,,,
11001,101,40770,32,25371,,,2,1000,48,30010,17,14060,13,905
12001,20,2005,4,100,,,,,14,1685,2,100,1,0
12005,7,190,,,,,,,7,190,,,,
12007,1,0,,,,,,,1,0,,,,
12009,17,3705,5,360,,,2,60,14,3495,1,0,,
12011,29,1430,11,280,,,7,210,23,980,3,50,,
12015,6,1300,4,100,,,,,2,1300,4,100,,
12019,4,101,3,10,,,,,4,101,1,0,,
12021,9,1390,5,130,,,1,0,8,1390,3,130,,
12031,34,7810,7,90,,,3,90,24,7620,4,0,2,0
12033,19,961,6,90,1,1,1,40,16,960,2,0,,
12035,5,200,,,,,,,4,100,,,,
12039,1,100,,,,,,,1,100,,,,
12053,3,250,1,0,,,,,1,250,,,,
12055,3,30,,,,,,,2,30,,,,
12057,54,6050,9,42,,,3,20,34,5870,2,0,2,20
12061,2,500,,,,,,,2,500,,,,
12069,3,220,1,0,,,,,3,220,,,,
12071,21,1635,5,210,,,2,0,16,1210,1,0,,
12073,52,7757,12,352,2,6,3,67,29,2185,6,285,2,1
12081,9,105,4,150,,,3,150,5,85,1,0,,
12083,6,145,,,,,,,4,60,,,1,5
12085,4,1290,3,140,,,1,100,2,1250,2,40,,
12086,61,2720,21,560,,,7,105,39,2590,10,320,2,20
12087,4,128,3,230,1,3,3,230,2,125,,,,
12091,1,0,1,0,,,,,1,0,,,,
12095,35,18835,4,70,,,1,0,28,18695,1,70,,
12097,7,160,,,,,,,3,140,,,,
12099,35,3490,16,1020,,,3,150,30,3380,10,670,,
12101,11,20,1,200,,,,,5,0,,,,
12103,44,4125,7,195,,,2,120,33,3695,1,0,1,0
12105,9,2575,3,100,,,1,0,5,2250,,,,
12107,3,200,1,0,,,,,3,200,,,,
12109,11,1000,4,20,,,,,10,1000,1,0,1,0
12111,2,200,1,0,,,,,2,200,,,,
12113,2,100,3,0,,,,,2,100,2,0,,
12115,21,1195,9,240,,,3,120,13,1095,5,120,,
12117,4,25,2,100,,,,,2,25,1,0,,
12127,13,2050,3,10,,,2,10,11,2000,,,,
12129,1,100,1,100,,,,,1,100,,,,
12131,4,571,1,50,1,1,,,3,570,,,,
13001,1,0,,,,,,,1,0,,,,
13009,1,30,,,,,,,,,,,,
13021,7,1100,,,,,,,5,1100,,,,
13031,4,600,,,,,,,4,600,,,,
13033,1,20,,,,,,,1,20,,,,
13051,14,545,6,180,,,,,9,430,3,140,1,5
13059,24,4805,2,13,,,,,17,4660,,,,
13063,3,30,,,,,,,3,30,,,,
13067,21,4480,7,340,,,2,50,17,4380,2,100,,
13071,2,50,,,,,,,2,50,,,,
13073,3,170,1,0,,,,,2,150,1,0,,
13077,5,0,,,,,,,4,0,,,,
13089,15,685,2,20,,,1,0,9,325,,,,
13095,3,60,,,,,,,3,60,,,,
13109,1,100,,,,,,,1,100,,,,
13115,11,280,1,200,,,,,10,130,,,,
13117,1,900,1,5,,,,,1,900,,,,
13121,66,6293,15,1400,2,20,2,100,41,6023,10,700,5,40
13127,8,500,2,0,,,,,8,500,2,0,,
13131,1,100,,,,,,,1,100,,,,
13135,13,2800,2,500,,,1,500,9,2500,1,0,,
13139,2,50,,,,,,,2,50,,,,
13151,2,120,2,275,,,,,2,120,,,,
13153,2,100,,,,,,,2,100,,,,
13155,1,0,1,0,,,,,,,,,,
13157,1,100,,,,,,,1,100,,,,
13179,1,0,,,,,,,1,0,,,,
13185,7,0,1,0,,,,,5,0,,,1,0
13189,1,0,,,,,,,1,0,,,,
13215,4,300,,,,,,,4,300,,,,
13217,2,300,,,,,,,2,300,,,,
13219,1,50,1,3,,,1,3,,,,,,
13245,11,1440,4,70,,,1,0,8,1420,,,,
13247,1,200,,,,,,,1,200,,,,
13251,1,100,,,,,,,1,100,,,,
13261,1,200,,,,,,,1,200,,,,
13275,4,220,,,,,,,4,220,,,,
13277,1,0,,,,,,,1,0,,,,
13285,1,50,,,,,,,1,50,,,,
13305,1,100,,,,,,,1,100,,,,
13313,3,560,4,50,,,,,3,560,3,50,,
15001,8,420,,,,,,,4,400,,,,
15003,17,11480,6,190,1,0,4,150,8,11320,2,40,1,0
15007,3,22,3,25,,,1,20,,,1,0,1,2
15009,11,295,2,300,1,10,1,100,3,0,1,200,,
16001,123,1138,31,2940,2,0,14,2040,14,558,7,550,1,0
16005,4,820,1,0,,,1,0,4,820,,,,
16013,2,200,1,60,,,1,60,1,100,,,,
16017,3,550,4,405,,,2,205,2,350,,,,
16019,4,120,2,50,,,1,20,3,120,,,,
16037,1,20,,,,,,,,,,,1,20
16055,4,340,14,1160,,,7,260,3,40,3,500,,
16057,5,300,6,470,,,5,470,4,300,,,,
16061,1,0,,,,,,,,,,,,
16065,6,70,2,10,,,2,10,,,,,,
16069,1,0,1,0,,,,,1,0,,,,
17001,2,75,1,0,,,1,0,2,75,,,,
17019,21,3370,3,320,,,1,20,15,3140,,,,
17021,1,300,1,0,,,1,0,1,300,,,,
17029,5,290,1,0,,,,,3,280,,,,
17031,212,49974,31,3330,2,55,14,1790,126,45128,4,160,7,232
17037,17,1400,1,78,,,1,78,14,1400,,,1,0
17041,1,0,,,,,,,1,0,,,,
17043,12,430,5,180,,,3,150,8,250,,,1,80
17049,1,500,2,0,,,,,1,500,,,,
17055,1,100,,,,,,,1,100,,,,
17057,1,120,,,,,,,1,120,,,,
17063,1,150,,,,,,,1,150,,,,
17073,1,400,,,,,,,1,400,,,,
17077,9,920,1,0,,,,,8,920,,,,
17083,1,200,,,,,,,1,200,,,,
17087,1,0,,,,,,,1,0,,,,
17089,20,3515,7,1080,,,5,80,15,2290,1,1000,,
17093,2,100,1,0,,,,,2,100,,,,
17095,3,630,,,,,,,3,630,,,,
17097,21,5930,8,390,,,5,310,14,5540,1,0,2,0
17099,8,200,6,120,,,2,20,8,200,1,100,,
17105,1,100,,,,,,,1,100,,,,
17107,1,50,,,,,,,1,50,,,,
17109,7,100,,,,,,,7,100,,,,
17111,16,643,7,660,2,4,4,310,8,600,2,350,2,4
17113,19,2108,3,500,,,,,16,2078,,,,
17115,9,1185,2,13,,,,,7,1145,1,13,,
17119,14,2600,2,80,,,,,14,2600,1,0,,
17127,1,0,,,,,,,1,0,,,,
17133,1,300,,,,,,,1,300,,,,
17137,4,100,1,0,,,1,0,4,100,,,,
17141,1,0,,,,,,,1,0,,,,
17143,3,2000,1,70,,,,,3,2000,1,70,,
17145,4,320,2,0,,,,,4,320,,,,
17147,1,0,,,,,,,1,0,,,,
17153,1,0,,,,,,,,,,,,
17161,6,120,1,0,,,,,4,120,1,0,,
17163,17,1375,,,,,,,17,1375,,,,
17167,15,4975,15,2035,1,0,12,1975,10,4050,3,60,,
17177,6,210,,,,,,,4,150,,,1,40
17179,1,150,1,4,,,,,1,150,,,,
17181,1,150,,,,,,,1,150,,,,
17183,3,660,1,0,,,,,3,660,,,,
17187,3,228,,,,,,,1,200,,,,
17197,23,1626,10,410,1,0,5,170,19,1601,4,230,,
17199,4,460,,,,,,,3,430,,,,
17201,33,1230,5,555,,,1,100,27,1020,,,1,0
18003,27,620,7,1670,,,,,21,595,3,140,1,0
18005,4,910,,,,,,,3,850,,,,
18011,1,7,,,,,,,1,7,,,,
18013,1,0,1,8,,,,,1,0,,,,
18017,1,20,,,,,,,,,,,,
18019,6,370,1,0,,,,,6,370,,,,
18021,1,0,,,,,,,,,,,,
18027,1,5,1,0,,,1,0,1,5,,,,
18033,2,180,2,300,,,,,2,180,2,300,,
18035,7,2515,1,50,,,,,6,2495,,,,
18039,10,610,5,545,,,4,470,8,510,,,,
18043,1,100,,,,,,,1,100,,,,
18053,5,142,,,,,,,4,142,,,,
18057,3,350,,,,,,,2,300,,,,
18059,2,300,1,50,,,,,2,300,,,,
18067,4,140,,,,,,,4,140,,,,
18075,1,80,,,,,,,,,,,,
18081,1,500,2,60,,,1,50,1,500,,,,
18083,2,400,,,,,,,2,400,,,,
18085,1,0,,,,,,,1,0,,,,
18089,15,990,4,146,,,1,25,14,980,,,,
18091,4,230,2,100,,,1,100,1,100,1,0,,
18093,4,0,3,0,,,,,4,0,,,,
18095,10,360,6,180,,,,,7,360,1,30,,
18097,39,5080,14,1050,,,6,790,30,4800,3,60,,
18105,21,3097,1,1000,,,,,13,2900,,,,
18109,1,0,2,100,,,,,1,0,1,100,,
18117,2,75,,,,,,,2,75,,,,
18127,2,450,2,160,,,1,60,2,450,1,100,,
18139,1,0,,,,,,,1,0,,,,
18141,15,910,2,145,,,,,10,670,,,,
18151,2,0,,,,,,,2,0,,,,
18157,9,2120,1,10,,,,,9,2120,1,10,,
18163,15,1490,1,0,,,,,14,1440,,,,
18167,19,550,5,221,,,,,8,425,3,201,,
18177,4,370,,,,,,,4,370,,,,
19013,15,1275,2,200,,,,,13,1160,1,100,,
19015,2,300,,,,,,,2,300,,,,
19023,1,0,,,,,,,,,,,,
19033,3,5,,,,,,,3,5,,,,
19041,2,580,,,,,,,2,580,,,,
19045,3,0,,,,,,,3,0,,,,
19057,2,100,,,,,,,2,100,,,,
19061,5,1150,,,,,,,5,1150,,,,
19103,36,7200,3,75,,,,,31,7010,1,0,,
19113,9,3111,2,250,,,,,8,3101,,,,
19123,2,0,,,,,,,2,0,,,,
19153,38,9687,9,743,1,30,2,300,32,8457,4,93,1,200
19155,1,0,,,,,,,,,,,1,0
19163,16,1160,3,0,,,,,13,1160,,,,
19169,7,500,,,,,,,7,500,,,,
19179,3,100,,,,,,,3,100,,,,
19181,1,200,,,,,,,1,200,,,,
19187,1,100,,,,,,,1,100,,,,
19189,1,0,,,,,,,1,0,,,,
19193,4,300,,,,,,,4,300,,,,
20005,1,0,,,,,,,1,0,,,,
20011,2,0,,,,,,,2,0,,,,
20035,3,75,1,0,,,,,3,75,,,,
20037,2,300,,,,,,,1,300,,,,
20045,11,1245,1,40,,,1,40,4,1115,,,,
20061,3,1,,,,,,,2,1,,,,
20079,1,75,,,,,,,1,75,,,,
20091,14,510,7,220,,,3,120,12,510,,,,
20097,1,50,,,,,,,1,50,,,,
20099,1,800,,,,,,,1,800,,,,
20103,1,0,,,,,,,,,,,,
20113,1,400,,,,,,,1,400,,,,
20117,1,100,,,,,,,1,100,,,,
20155,3,790,,,,,,,3,790,,,,
20161,7,2280,1,0,,,,,4,2250,1,0,,
20167,1,0,,,,,,,1,0,,,,
20173,22,4191,7,208,,,4,128,17,4141,3,80,,
20177,18,920,12,1143,1,0,3,450,8,790,5,403,,
20191,3,500,,,,,,,3,500,,,,
20209,4,24,,,,,,,2,20,,,,
21005,1,0,1,0,,,,,1,0,1,0,,
21009,3,150,,,,,,,1,150,,,,
21015,3,10,,,,,,,1,0,,,,
21019,1,1,1,0,,,,,1,1,1,0,,
21021,2,700,,,,,,,2,700,,,,
21033,1,70,,,,,,,1,70,,,,
21035,11,420,7,40,,,,,11,420,,,,
21043,4,60,4,345,,,,,4,60,,,,
21047,6,200,,,,,,,5,200,,,,
21049,3,60,,,,,,,2,60,,,,
21059,6,540,1,0,,,,,6,540,,,,
21067,36,2260,5,100,,,3,0,27,1950,1,100,2,60
21071,2,150,,,,,,,1,150,,,,
21073,16,980,20,2368,,,11,1840,2,600,3,103,,
21085,2,100,,,,,,,2,100,,,,
21093,3,0,,,,,,,2,0,,,,
21095,1,0,,,,,,,1,0,,,,
21101,2,200,1,0,,,1,0,2,200,,,,
21111,170,13705,15,1540,,,,,161,9605,1,1000,2,100
21115,1,50,1,0,,,,,1,50,1,0,,
21117,4,320,,,,,,,4,320,,,,
21121,2,100,,,,,,,2,100,,,,
21125,2,0,,,,,,,2,0,,,,
21133,1,0,,,,,,,1,0,,,,
21141,1,0,,,,,,,1,0,,,,
21143,1,0,,,,,,,1,0,,,,
21145,9,1350,1,0,,,,,9,1350,1,0,,
21151,4,350,3,100,,,1,0,4,350,1,0,,
21157,1,0,,,,,,,1,0,,,,
21161,1,200,,,,,,,1,200,,,,
21173,1,0,,,,,,,1,0,,,,
21185,47,850,1,60,,,1,60,47,850,,,,
21195,2,10,1,20,,,,,1,0,,,,
21199,1,0,1,0,,,,,1,0,1,0,,
21205,1,250,,,,,,,1,250,,,,
21227,14,1520,,,,,,,12,1520,,,1,0
21235,4,300,1,25,,,,,3,300,1,25,,
21239,1,0,,,,,,,1,0,,,,
22001,1,0,,,,,,,1,0,,,,
22003,1,0,,,,,,,1,0,,,,
22005,2,180,,,,,,,2,180,,,,
22011,1,0,,,,,,,1,0,,,,
22015,2,25,,,,,,,1,0,,,,
22017,13,850,3,1196,,,,,11,850,1,146,,
22019,3,400,3,200,,,1,0,2,400,1,200,,
22033,22,2502,14,1184,,,3,450,17,2201,6,333,,
22045,2,100,,,,,,,2,100,,,,
22051,8,640,,,,,,,4,420,,,,
22053,1,150,,,,,,,1,150,,,,
22055,15,1665,4,60,,,,,14,1665,1,20,,
22061,1,0,,,,,,,1,0,,,,
22063,1,100,,,,,,,1,100,,,,
22069,1,0,,,,,,,1,0,,,,
22071,32,8145,1,25,,,1,25,18,7705,,,1,0
22073,4,225,,,,,,,3,225,,,,
22075,1,0,,,,,,,1,0,,,,
22079,4,0,1,1000,,,,,4,0,,,,
22095,1,30,,,,,,,,,,,,
22097,1,10,,,,,,,1,10,,,,
22099,1,0,,,,,,,1,0,,,,
22101,1,0,,,,,,,1,0,,,,
22103,3,200,,,,,,,2,200,,,,
22105,3,75,1,0,,,,,3,75,,,,
22109,5,145,1,0,,,,,3,125,,,1,20
22113,1,0,1,0,,,1,0,1,0,,,,
22115,2,0,,,,,,,2,0,,,,
22119,2,0,,,,,,,2,0,,,,
22121,2,100,,,,,,,2,100,,,,
