GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
40145,1,150,1,200,,,,,1,150,,,,
40147,2,0,,,,,,,2,0,,,,
41003,13,6605,3,20,,,1,0,6,6510,,,,
41005,18,1260,10,340,,,3,140,16,1260,1,200,,
41007,6,210,3,25,1,10,1,25,4,200,,,,
41009,2,130,1,0,,,1,0,2,130,,,,
41011,60,800,1,0,,,,,59,800,,,,
41013,6,150,6,100,,,,,6,150,,,,
41015,4,175,2,60,,,2,60,1,100,,,,
41017,11,2470,9,350,,,6,350,9,2270,1,0,1,0
41019,3,210,6,290,,,1,100,2,200,4,170,,
41023,1,140,1,0,,,,,1,140,,,,
41027,3,900,,,,,,,3,900,,,,
41029,8,1310,6,310,,,4,310,5,1300,,,,
41031,1,200,1,0,,,1,0,,,,,,
41033,4,640,6,175,,,2,25,3,520,4,150,,
41035,3,200,6,1200,,,3,200,3,200,,,,
41039,72,15388,24,1050,,,1,120,61,14778,7,480,3,100
41041,13,141,,,,,,,13,141,,,,
41043,4,1055,3,400,,,,,2,1050,1,150,,
41045,2,400,2,250,,,2,250,2,400,,,,
41047,40,4902,35,5302,2,0,17,2582,24,3690,10,1115,4,2
41051,204,76055,18,2270,,,3,100,180,74495,4,1100,3,0
41053,95,450,3,40,,,1,0,95,450,,,,
41057,1,0,3,120,,,,,,,,,,
41059,6,270,6,155,,,1,0,5,270,3,5,,
41061,1,100,1,35,,,,,1,100,,,,
41063,2,201,2,230,,,,,2,201,,,,
41065,2,0,,,,,,,2,0,,,,
41067,10,1830,2,0,,,1,0,8,1630,1,0,,
41071,6,475,1,0,,,,,3,350,1,0,,
42001,3,10,4,0,,,,,3,10,,,,
42003,84,9044,10,330,,,7,180,61,8097,2,130,3,20
42007,6,720,2,20,,,,,3,680,2,20,1,25
42011,18,1485,5,655,,,,,8,1225,1,200,1,40
42013,3,815,2,0,,,1,0,2,800,,,,
42017,7,150,5,300,,,4,300,6,150,,,,
42019,1,0,,,,,,,1,0,,,,
42021,7,250,2,200,,,1,0,4,220,,,,
42025,1,1,1,100,,,1,100,1,1,,,,
42027,14,1940,1,10,,,,,9,1870,1,10,,
42029,15,2200,1,0,,,1,0,10,1870,,,,
42037,3,100,2,20,,,,,2,100,2,20,,
42041,10,970,2,0,,,,,9,720,,,,
42043,24,1815,13,4440,1,5,6,1910,13,1440,5,2330,1,0
42045,14,3186,11,405,,,5,105,11,3150,,,,
42049,11,3245,9,502,,,2,100,6,3100,3,300,2,45
42055,6,145,,,,,,,6,145,,,,
42069,12,2490,1,0,,,,,5,2300,,,3,20
42071,24,2240,6,241,,,1,100,14,1880,2,100,1,0
42073,3,120,,,,,,,2,100,,,,
42075,2,500,3,250,,,2,150,1,500,,,,
42077,11,770,5,230,,,3,30,7,650,,,1,100
42079,15,731,9,625,,,,,10,731,8,625,2,1
42081,5,271,4,140,,,1,25,5,271,1,100,1,1
42083,1,40,,,,,,,1,40,,,,
42085,7,410,2,0,,,1,0,7,410,,,,
42089,3,0,,,,,,,2,0,,,,
42091,11,2675,3,130,,,3,130,9,2550,,,,
42095,11,1820,3,130,,,1,30,8,1800,,,,
42097,6,725,2,0,,,,,5,625,1,0,,
42101,94,16363,16,551,1,3,2,15,53,14340,4,51,5,250
42103,1,50,4,600,,,1,100,,,3,500,,
42107,4,100,,,,,,,2,100,,,1,0
42109,4,425,,,,,,,4,425,,,,
42111,1,250,2,30,,,,,1,250,,,,
42119,9,365,2,100,,,,,5,120,,,,
42121,1,0,,,,,,,,,,,,
42123,2,10,,,,,,,1,0,,,,
42125,5,270,2,20,,,1,20,2,180,1,0,,
42127,1,100,2,30,,,1,30,1,100,,,,
42129,14,585,10,510,,,4,160,11,440,6,350,,
42131,2,30,1,0,,,,,2,30,,,,
42133,12,3109,2,100,,,2,100,11,3095,,,,
44001,4,210,,,,,,,4,210,,,,
44003,1,0,3,40,,,1,40,,,2,0,1,0
44005,3,1150,1,20,,,,,3,1150,1,20,,
44007,53,10595,11,1552,1,0,4,170,22,9345,3,127,,
44009,4,675,1,0,,,,,4,675,,,,
45003,13,480,2,104,,,1,4,10,360,,,,
45007,2,380,1,400,,,,,2,380,,,,
45013,13,1466,6,216,,,5,116,12,1466,,,,
45015,2,100,,,,,,,,,,,,
45019,40,4384,8,65,,,,,33,3804,,,,
45021,1,0,,,,,,,1,0,,,,
45023,2,220,,,,,,,2,220,,,,
45029,2,300,,,,,,,2,300,,,,
45031,2,0,,,,,,,2,0,,,,
45035,2,300,2,0,,,1,0,2,300,1,0,,
45041,6,450,,,,,,,5,450,,,,
45043,4,150,,,,,,,4,150,,,,
45045,18,1585,5,230,1,5,1,0,14,1580,,,3,0
45051,8,780,2,100,,,,,8,780,,,,
45057,1,100,,,,,,,1,100,,,,
45063,1,105,1,100,,,1,100,,,,,,
45073,1,1,1,0,,,,,1,1,,,,
45075,2,0,,,,,,,1,0,,,,
45077,4,3170,,,,,,,3,3130,,,,
45079,34,14515,9,429,,,2,200,22,14010,3,225,3,5
45083,2,0,,,,,,,2,0,,,,
45085,5,235,1,100,,,1,100,5,235,,,,
45091,4,2300,,,,,,,4,2300,,,,
46011,1,100,2,250,,,1,250,1,100,,,,
46013,7,73,,,,,,,5,63,,,,
46019,1,0,,,,,,,1,0,,,,
46027,1,0,,,,,,,1,0,,,,
46029,1,300,1,0,,,,,1,300,,,,
46065,3,10,1,20,,,,,1,0,1,20,,
46093,2,0,,,1,0,,,1,0,,,,
46099,11,3720,3,220,,,1,20,6,3320,1,100,,
46103,9,540,2,20,,,,,5,270,,,2,150
46107,1,0,1,0,,,,,1,0,,,,
47001,3,200,1,0,,,,,3,200,,,,
47009,1,200,,,,,,,1,200,,,,
47011,3,0,1,0,,,1,0,3,0,,,,
47019,1,0,1,0,,,,,1,0,,,,
47037,33,14765,16,1830,,,11,1380,25,14620,5,450,1,0
47045,3,60,2,20,,,,,3,60,,,,
47053,1,20,,,,,,,1,20,,,,
47055,1,100,1,20,,,,,1,100,,,,
47065,12,450,2,20,,,2,20,11,450,,,,
47073,2,100,2,200,,,,,2,100,,,,
47093,14,1460,3,95,,,2,95,9,1420,,,,
47113,8,760,1,16,,,1,16,7,710,,,,
47119,2,200,,,,,,,2,200,,,,
47125,6,645,,,,,,,5,625,,,1,20
47141,4,30,4,0,,,1,0,4,30,,,,
47149,9,1320,1,0,,,,,7,1320,,,,
47157,46,2290,6,34,,,2,7,37,2090,1,0,,
47163,3,160,3,0,,,,,2,140,2,0,,
47165,1,100,1,0,,,,,1,100,,,,
47167,1,0,,,,,,,1,0,,,,
47179,13,330,1,0,,,,,11,230,,,,
47187,3,430,4,30,,,3,30,3,430,1,0,,
47189,1,0,,,,,,,1,0,,,,
48001,1,50,,,,,,,1,50,,,,
48005,4,101,2,115,,,1,15,3,100,1,100,,
48021,2,10,,,,,,,1,0,,,,
48027,22,1665,4,725,,,,,13,1530,1,650,,
48029,38,107710,7,220,,,2,0,25,107390,2,120,,
48037,2,20,,,,,,,2,20,,,,
48039,3,600,1,0,,,,,2,600,,,,
48041,14,2220,3,45,,,,,9,2120,,,,
48043,1,100,,,,,,,1,100,,,,
48055,1,20,,,,,,,1,20,,,,
48061,9,315,1,100,,,,,2,130,1,100,,
48067,1,0,,,,,,,1,0,,,,
48071,2,60,,,,,,,2,60,,,,
48073,2,250,,,,,,,2,250,,,,
48085,1,0,1,100,,,1,100,1,0,,,,
48091,2,1300,4,400,,,1,300,2,1300,2,100,,
48099,3,20,1,50,,,,,,,,,,
48113,127,6283,7,350,,,1,100,119,6250,5,250,1,5
48121,15,1345,3,255,,,,,13,1145,,,,
48123,1,0,,,,,,,1,0,,,,
48135,6,400,4,140,,,2,40,4,400,,,1,0
48141,27,1475,5,150,1,0,2,100,9,1240,,,,
48147,1,0,,,,,,,1,0,,,,
48157,1,20,,,,,,,1,20,,,,
48167,8,230,5,0,,,1,0,8,230,1,0,,
48179,1,0,,,,,,,1,0,,,,
48181,2,400,,,,,,,2,400,,,,
48183,10,220,4,0,,,1,0,8,150,2,0,,
48187,2,200,,,,,,,2,200,,,,
48201,39,97025,6,1420,,,4,20,17,95160,1,1300,1,0
48203,8,110,5,70,,,1,50,8,110,1,0,,
48209,4,100,1,0,,,,,3,100,,,,
48213,2,560,,,,,,,2,560,,,,
48215,4,1500,3,1,,,1,0,3,1500,1,0,,
48227,3,40,1,20,,,1,20,3,40,,,,
48231,4,115,3,7,,,2,7,4,115,,,,
48239,1,80,,,,,,,1,80,,,,
48241,1,0,,,,,,,1,0,,,,
48245,4,550,3,10,,,2,10,3,550,1,0,,
48259,1,0,,,,,,,1,0,,,,
48265,1,0,2,0,,,,,1,0,1,0,,
48273,1,225,,,,,,,1,225,,,,
48277,2,30,1,5,,,1,5,2,30,,,,
48303,6,510,2,200,,,1,0,3,500,,,,
48309,2,550,1,0,,,1,0,2,550,,,,
48315,1,60,,,,,,,1,60,,,,
48329,7,395,6,30,,,,,5,345,2,30,,
48339,4,100,1,100,,,,,4,100,1,100,,
48347,5,258,,,,,,,5,258,,,,
48349,1,0,,,,,,,1,0,,,,
48355,12,525,3,70,1,0,1,20,4,300,2,50,1,40
48361,2,100,,,,,,,2,100,,,,
48367,7,230,6,720,,,,,7,230,,,,
48375,5,240,1,0,1,0,,,3,200,,,,
48381,1,200,1,2,,,,,1,200,,,,
48397,1,100,,,,,,,1,100,,,,
48419,1,0,,,,,,,,,,,,
48423,7,270,5,110,,,2,100,5,250,1,0,,
48439,31,2475,15,383,,,7,20,26,1455,4,243,,
48441,7,1750,1,40,,,,,6,1750,,,,
48449,1,0,,,,,,,1,0,,,,
48451,3,100,1,75,,,1,75,2,100,,,,
48453,55,8875,34,1610,,,12,1130,34,5025,10,405,3,0
48465,2,300,1,0,,,,,2,300,,,,
48469,2,620,4,225,,,1,0,2,620,,,,
48471,8,185,,,,,,,8,185,,,,
48477,1,50,,,,,,,1,50,,,,
48479,8,550,3,60,,,1,60,2,150,,,,
48485,6,520,1,20,,,,,6,520,,,,
48491,12,850,3,23,,,,,8,700,,,,
48497,3,2500,,,,,,,3,2500,,,,
48499,1,0,1,0,,,1,0,1,0,,,,
49005,8,595,5,30,,,,,2,450,4,30,,
49011,2,90,2,100,,,2,100,,,,,,
49019,1,600,,,,,,,1,600,,,,
49021,2,120,2,100,,,1,0,2,120,,,,
49025,1,0,,,,,,,1,0,,,,
49035,80,14596,34,4350,,,12,1720,51,12721,5,620,2,20
49043,2,400,1,0,,,1,0,1,300,,,,
49045,1,0,4,1000,,,3,1000,1,0,,,,
49049,10,423,10,595,1,3,7,495,5,390,1,0,,
49051,1,30,,,,,,,,,,,,
49053,7,10732,10,830,,,5,120,7,10732,,,,
49057,10,1097,,,,,,,6,1007,,,,
50001,7,700,,,,,,,5,500,,,,
50003,5,230,1,30,,,1,30,3,230,,,,
50005,2,150,,,,,,,1,150,,,,
50007,45,5135,4,100,,,,,33,4715,1,100,1,0
50011,1,0,1,0,,,,,1,0,,,,
50015,1,200,,,,,,,1,200,,,,
50017,1,250,,,,,,,1,250,,,,
50019,2,120,1,200,,,,,2,120,1,200,,
50021,4,500,1,100,,,,,2,500,,,,
50023,17,5784,11,838,2,4,1,7,8,5450,5,81,1,20
50025,13,1701,1,0,,,,,8,1590,1,0,,
50027,5,656,,,,,,,4,656,,,,
51003,4,120,,,,,,,3,120,,,,
51009,1,100,,,,,,,1,100,,,,
51019,1,0,,,,,,,1,0,,,,
51041,8,225,3,120,,,2,20,4,225,,,,
51043,1,200,,,,,,,1,200,,,,
51047,2,800,3,80,,,,,2,800,1,80,,
51061,1,250,,,,,,,1,250,,,,
51063,2,5,2,21,,,,,2,5,,,,
51065,1,0,,,,,,,1,0,,,,
51067,3,100,,,,,,,2,90,,,,
51073,2,0,,,,,,,2,0,,,,
51075,1,100,,,,,,,1,100,,,,
51079,1,0,,,,,,,1,0,,,,
51085,5,230,2,70,,,2,70,2,100,,,,
51087,4,450,1,0,,,,,3,400,1,0,,
51095,2,80,,,,,,,2,80,,,,
51099,1,75,,,,,,,1,75,,,,
51107,6,122,2,1,,,,,1,0,2,1,1,2
51109,1,100,1,4,,,,,1,100,,,,
51121,8,700,,,,,,,4,700,,,,
51137,1,100,1,0,,,,,1,100,,,,
51139,1,0,,,,,,,1,0,,,,
51147,1,20,,,,,,,,,,,,
51153,2,95,3,0,,,3,0,2,95,,,,
51155,1,50,,,,,,,,,,,,
51165,2,120,1,0,,,,,1,100,,,,
51171,1,0,1,0,,,,,1,0,,,,
51173,2,200,2,200,,,,,2,200,,,,
51177,1,50,,,,,,,1,50,,,,
51179,1,200,,,,,,,1,200,,,,
51187,2,100,1,0,,,,,1,100,,,,
51193,2,400,,,,,,,2,400,,,,
51195,2,150,,,,,,,2,150,,,,
51197,1,300,1,100,,,,,1,300,,,,
51510,2,0,1,1,,,,,2,0,,,,
51540,20,2090,,,,,,,16,1690,,,1,100
51550,3,300,,,,,,,2,200,,,,
51570,1,0,,,,,,,1,0,,,,
51590,4,310,,,,,,,4,310,,,,
51630,16,510,2,250,,,1,250,16,510,,,,
51650,9,410,,,,,,,8,410,,,,
51660,6,140,,,,,,,4,140,,,,
51680,12,740,1,0,,,,,11,730,1,0,,
51683,2,300,,,,,,,1,200,,,,
51700,8,350,2,20,,,,,6,150,,,1,200
51710,18,1270,,,,,,,15,1270,,,,
51720,1,80,,,,,,,1,80,,,,
51730,1,500,,,,,,,1,500,,,,
51740,11,215,2,250,,,,,11,215,,,,
51750,1,100,,,,,,,1,100,,,,
51760,72,8457,20,24290,2,2,7,170,44,5135,3,0,2,75
51770,16,1180,2,100,,,,,14,380,,,,
51775,3,50,1,80,,,,,2,50,,,,
51790,11,430,1,75,,,,,7,350,1,75,,
51800,3,1142,,,,,,,2,1140,,,,
51810,19,1925,2,450,,,,,16,1915,1,0,,
51820,6,340,,,,,,,5,330,,,,
51830,6,1090,2,70,,,2,70,5,1050,,,,
51840,4,1100,1,0,,,,,3,1100,1,0,,
53005,9,2600,15,1360,,,8,760,9,2600,3,340,,
53007,6,2530,7,130,,,2,40,2,2300,4,90,,
53009,11,1060,1,70,,,,,7,680,1,70,1,0
53011,20,2535,17,905,,,5,160,17,2480,1,200,,
53015,8,390,6,335,,,2,230,7,325,,,,
53021,10,215,5,280,1,5,3,180,6,180,,,,
53025,1,0,,,,,,,1,0,,,,
53029,3,350,1,40,,,,,2,250,1,40,,
53031,8,385,2,30,,,,,3,225,1,30,,
53033,146,97903,19,800,,,9,360,117,97040,4,20,3,0
53035,8,1640,,,,,,,7,1640,,,,
53037,103,200,,,,,,,102,160,,,,
53039,2,60,2,102,,,,,2,60,,,,
53047,1,10,2,75,,,,,1,10,,,,
53053,16,4000,3,50,,,2,50,15,4000,,,,
53055,3,700,,,,,,,2,700,,,,
53057,10,610,,,,,,,8,610,,,,
53061,33,2341,7,730,,,3,220,30,2241,1,200,,
53063,26,6965,22,2355,2,210,12,1835,13,5410,2,120,,
53067,28,1830,17,5050,,,10,4320,16,1130,4,450,3,120
53071,4,210,1,100,,,1,100,3,110,,,,
53073,16,9100,2,0,,,1,0,12,9100,,,,
53075,3,302,4,122,,,3,120,2,300,,,,
53077,12,980,4,602,,,1,400,9,680,,,,
54003,4,110,2,0,,,1,0,3,100,1,0,,
54011,5,145,2,0,,,,,3,120,1,0,,
54029,1,100,,,,,,,1,100,,,,
54033,1,200,2,25,,,,,1,200,,,,
54037,2,500,1,40,,,,,2,500,,,,
54039,9,550,6,240,,,3,140,5,400,,,,
54045,2,30,1,0,,,,,2,30,,,,
54049,4,125,1,0,,,,,4,125,,,,
54051,1,30,,,,,,,,,,,,
54057,2,50,,,,,,,2,50,,,,
54059,2,70,,,,,,,2,70,,,,
54061,9,1720,4,150,,,2,20,8,1700,,,,
54065,1,0,1,0,,,,,1,0,,,,
54069,1,10,,,,,,,,,,,,
54077,2,70,2,81,,,,,2,70,,,,
54081,3,50,,,,,,,3,50,,,,
54083,1,0,1,0,,,,,1,0,,,,
54107,5,32,5,171,,,,,2,2,3,171,,
55003,3,118,,,,,,,2,118,,,,
55005,2,140,1,100,,,,,2,140,,,,
55009,16,1550,4,70,,,1,20,13,1530,2,0,1,20
55015,2,0,,,,,,,2,0,,,,
55019,1,0,,,,,,,,,,,,
55021,1,60,1,0,,,1,0,1,60,,,,
55025,67,9086,16,1840,3,0,10,1740,44,8226,6,100,1,20
55027,1,150,,,,,,,1,150,,,,
55029,1,300,,,,,,,1,300,,,,
55031,1,100,,,,,,,1,100,,,,
55033,1,0,,,,,,,1,0,,,,
55035,6,1400,5,25,,,2,0,6,1400,,,,
55039,2,100,,,,,,,2,100,,,,
55045,1,80,,,,,,,1,80,,,,
55055,5,50,,,,,,,5,50,,,,
55059,30,2209,7,375,,,,,26,2064,2,70,2,120
55061,1,0,,,,,,,1,0,,,,
55063,9,1220,2,0,,,,,7,1220,,,,
55071,2,40,1,0,,,1,0,2,40,,,,
55073,4,460,2,130,,,2,130,4,460,,,,
55079,86,17561,12,1101,1,0,5,50,68,17076,5,1050,6,305
55083,1,20,,,,,,,1,20,,,,
55085,2,175,,,,,,,2,175,,,,
55087,7,1370,4,0,,,1,0,6,1350,,,,
55089,5,750,1,100,,,1,100,5,750,,,,
55093,2,110,1,1500,,,,,2,110,1,1500,,
55097,2,1000,1,0,,,,,2,1000,,,,
55101,9,220,2,100,,,2,100,8,220,,,,
55105,7,490,,,,,,,7,490,,,,
55109,2,200,,,,,,,2,200,,,,
55111,2,120,,,,,,,2,120,,,,
55113,4,125,,,,,,,3,110,,,,
55117,6,300,1,100,,,,,5,300,,,,
55131,2,0,1,0,,,,,2,0,,,,
55133,9,930,3,1370,1,0,3,1370,8,930,,,,
55135,4,0,2,0,,,,,4,0,,,,
55139,7,110,2,10,,,1,10,6,110,1,0,1,0
55141,2,120,1,100,,,1,100,2,120,,,,
56001,13,0,5,5,,,,,13,0,,,,
56013,1,0,,,,,,,,,,,,
56021,5,110,8,885,,,4,305,4,60,4,580,,
56025,4,520,2,20,,,1,20,3,500,,,,
56029,2,302,2,70,1,2,1,50,1,300,,,,
56033,1,500,1,20,,,,,1,500,,,,
56035,1,100,,,,,,,1,100,,,,
56037,4,0,,,,,,,4,0,,,,
56039,3,551,4,20,,,,,2,550,1,0,1,1
72127,2,0,,,,,,,2,0,,,,
01003,,,2,0,,,,,,,2,0,,
01051,,,1,0,,,,,,,,,,
01061,,,1,20,,,1,20,,,,,,
01085,,,1,0,,,,,,,,,,
01121,,,1,0,,,,,,,,,,
02122,,,2,25,,,1,15,,,1,10,,
04017,,,1,5,,,1,5,,,,,,
08039,,,1,0,,,,,,,,,,
08085,,,1,20,,,1,20,,,,,,
12119,,,1,0,,,,,,,1,0,,
13013,,,1,0,,,1,0,,,,,,
13047,,,1,0,,,,,,,,,,
13057,,,1,300,,,,,,,,,,
13181,,,1,100,,,,,,,1,100,,
16027,,,1,50,,,1,50,,,,,,
16045,,,2,0,,,2,0,,,,,,
16075,,,4,150,,,1,0,,,3,150,,
16083,,,1,100,,,,,,,,,,
17017,,,1,100,,,1,100,,,,,,
17067,,,1,200,,,1,200,,,,,,
18029,,,1,0,,,,,,,1,0,,
18069,,,1,0,,,1,0,,,,,,
18181,,,1,0,,,,,,,,,,
18183,,,1,0,,,,,,,,,,
20041,,,1,0,,,1,0,,,,,,
20151,,,1,25,,,,,,,,,,
21029,,,1,20,,,,,,,,,,
21109,,,1,20,,,,,,,,,,
21179,,,1,100,,,,,,,,,,
22093,,,1,0,,,,,,,,,,
24015,,,1,20,,,1,20,,,,,,
26013,,,1,20,,,1,20,,,,,,
26037,,,1,0,,,1,0,,,,,,
26123,,,1,100,,,1,100,,,,,,
26153,,,1,0,,,,,,,,,,
27047,,,1,20,,,1,20,,,,,,
27135,,,1,0,,,1,0,,,,,,
29047,,,1,0,,,,,,,,,,
29091,,,1,20,,,,,,,,,,
29109,,,1,75,,,1,75,,,,,,
29145,,,1,0,,,1,0,,,,,,
29201,,,1,0,,,,,,,1,0,,
30009,,,1,200,,,,,,,,,,
30019,,,1,0,,,1,0,,,,,,
30067,,,1,0,,,1,0,,,,,,
31025,,,1,0,,,,,,,,,,
32023,,,5,120,,,3,80,,,1,20,,
32027,,,1,100,,,1,100,,,,,,
35039,,,1,0,,,,,,,,,,
35051,,,1,60,,,1,60,,,,,,
35061,,,1,300,,,1,300,,,,,,
36035,,,3,60,,,2,20,,,,,,
36107,,,1,30,,,1,30,,,,,,
37019,,,2,20,,,2,20,,,,,,
37027,,,1,0,,,,,,,1,0,,
37031,,,1,500,,,,,,,1,500,,
37059,,,2,0,,,1,0,,,,,,
39021,,,1,0,,,1,0,,,,,,
39027,,,1,0,,,,,,,,,,
39105,,,1,0,,,1,0,,,,,,
39135,,,1,0,,,1,0,,,,,,
39149,,,1,0,,,,,,,1,0,,
40001,,,1,400,,,,,,,,,,
42039,,,1,500,,,,,,,1,500,,
42051,,,1,0,,,,,,,,,,
42063,,,2,20,,,1,20,,,1,0,,
42105,,,1,0,,,,,,,,,,
48251,,,3,0,,,1,0,,,,,,
48365,,,1,0,,,,,,,1,0,,
49039,,,2,0,,,2,0,,,,,,
49047,,,1,0,,,1,0,,,,,,
51013,,,2,20,,,2,20,,,,,,
51031,,,1,300,,,1,300,,,,,,
51059,,,1,0,,,1,0,,,,,,
51191,,,2,45,,,,,,,1,0,,
51600,,,1,0,,,,,,,1,0,,
53041,,,1,100,,,1,100,,,,,,
54053,,,1,0,,,,,,,,,,
55049,,,1,0,,,1,0,,,,,,
